area_name_jp,area_name_kana,slug,public_php,source_html,expected_url,page_title,meta_description,h1,main_image,shop_image,map_url,map_title,status,has_placeholder,has_broken_image_candidate,has_noindex,has_json_ld,has_faq,notes
"荒田","不明","arata","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-arata.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-arata.html","https://www.55810.com/kagoshima-deliveryhealth-area-arata.php","鹿児島市荒田で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「荒田」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市荒田で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-arata_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3398.95!2d130.544!3d31.581!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2z5qCD5pyo55yM6bm_5YWQ5bO255yM!5e0!3m2!1sja!2sjp","鹿児島市 荒田の地図","PHP/HTML対応あり; 画像パス切れ候補","なし","あり","あり","あり","あり","meta keywordsなし"
"有屋田町","不明","ariyadacho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-ariyadacho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-ariyadacho.html","https://www.55810.com/kagoshima-deliveryhealth-area-ariyadacho.php","鹿児島市有屋田町で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島市「有屋田町」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市有屋田町で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-ariyadacho_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d13583.338802344215!2d130.436265408847!3d31.665741847890303!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e42e6a76f5435%3A0xc4a23c0ee00dcacd!2z44CSODkxLTExMDcg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC5pyJ5bGL55Sw55S6!5e0!3m2!1sja!2sjp!4v1772081290061!5m2!1sja!2sjp","鹿児島市有屋田町の地図","PHP/HTML対応あり; 確認済み","なし","なし","あり","あり","あり","meta keywordsなし"
"祇園之洲町","不明","gionnosucho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-gionnosucho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-gionnosucho.html","https://www.55810.com/kagoshima-deliveryhealth-area-gionnosucho.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-gionnosucho_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり","あり","なし","あり","あり","あり","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"呉服町","不明","gofukucho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-gofukucho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-gofukucho.html","https://www.55810.com/kagoshima-deliveryhealth-area-gofukucho.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-gofukucho_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり","あり","なし","あり","あり","あり","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"五ヶ別府町","不明","gokabeppucho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-gokabeppucho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-gokabeppucho.html","https://www.55810.com/kagoshima-deliveryhealth-area-gokabeppucho.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-gokabeppucho_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり","あり","なし","あり","あり","あり","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"花野光ヶ丘","不明","hananohikarigaoka","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-hananohikarigaoka.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-hananohikarigaoka.html","https://www.55810.com/kagoshima-deliveryhealth-area-hananohikarigaoka.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-hananohikarigaoka_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり; 画像パス切れ候補","あり","あり","あり","あり","あり","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"平川町","不明","hirakawacho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-hirakawacho.php","不明","/kagoshima-deliveryhealth-area-hirakawacho.php","不明","不明","不明","未設定/未確認","未設定/未確認","未設定/未確認","未設定/未確認","source HTMLなし; 未確認","なし","なし","なし","なし","なし","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; HTML未確認"
"池之上町","不明","ikenouecho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-ikenouecho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-ikenouecho.html","https://www.55810.com/kagoshima-deliveryhealth-area-ikenouecho.php","鹿児島市池之上町で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島市「池之上町」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市池之上町で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-ikenouecho_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3397.85451589082!2d130.55917741174747!3d31.610445992577628!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e5e725ac7805d%3A0x9334843c8381fe8c!2z44CSODkyLTA4MDYg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC5rGg5LmL5LiK55S6!5e0!3m2!1sja!2sjp!4v1772079676910!5m2!1sja!2sjp","鹿児島市池之上町の地図","PHP/HTML対応あり; 確認済み","なし","なし","あり","あり","あり","meta keywordsなし"
"稲荷町","不明","inaricho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-inaricho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-inaricho.html","https://www.55810.com/kagoshima-deliveryhealth-area-inaricho.php","鹿児島市稲荷町で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島市「稲荷町」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島「稲荷町」で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-inaricho_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6795.494447000634!2d130.56378486713464!3d31.613385483002435!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e5e68b40ee6fb%3A0x2289d5d6ec05d4e!2z44CSODkyLTA4MDEg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC56iy6I2355S6!5e0!3m2!1sja!2sjp!4v1772089996795!5m2!1sja!2sjp","鹿児島市稲荷町の地図","PHP/HTML対応あり; 確認済み","なし","なし","あり","あり","あり","meta keywordsなし"
"犬迫町","不明","inusakocho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-inusakocho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-inusakocho.html","https://www.55810.com/kagoshima-deliveryhealth-area-inusakocho.php","鹿児島市犬迫町で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島市「犬迫町」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市犬迫町で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-inusakocho_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27177.544545664692!2d130.47011251585565!3d31.628563780912163!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e5d4247344927%3A0x5f06228884413888!2z44CSODkxLTEyMDUg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC54qs6L-r55S6!5e0!3m2!1sja!2sjp!4v1772070218764!5m2!1sja!2sjp","鹿児島市犬迫町の地図","PHP/HTML対応あり; 画像パス切れ候補","なし","あり","あり","あり","あり","meta keywordsなし"
"入佐町","不明","irisacho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-irisacho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-irisacho.html","https://www.55810.com/kagoshima-deliveryhealth-area-irisacho.php","鹿児島市入佐町で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島市「入佐町」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市入佐町で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-irisacho_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27191.379037834715!2d130.38136276576614!3d31.581176350899543!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e694fa1e77873%3A0xf03b52030b373c0!2z6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC5YWl5L2Q55S6!5e0!3m2!1sja!2sjp!4v1772080232354!5m2!1sja!2sjp","鹿児島市入佐町の地図","PHP/HTML対応あり; 確認済み","なし","なし","あり","あり","あり","meta keywordsなし"
"石谷町","不明","ishidanicho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-ishidanicho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-ishidanicho.html","https://www.55810.com/kagoshima-deliveryhealth-area-ishidanicho.php","鹿児島市石谷町で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島市「石谷町」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市石谷町で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-ishidanicho_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d38756.44842922983!2d130.42925501185334!3d31.611237795068188!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e684066110cdb%3A0x2e50986ace8b4927!2z44CSODk5LTI3MDEg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC55-z6LC355S6!5e1!3m2!1sja!2sjp!4v1772151189393!5m2!1sja!2sjp","鹿児島市石谷町の地図","PHP/HTML対応あり; 確認済み","なし","なし","あり","あり","あり","meta keywordsなし"
"伊敷","不明","ishiki","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-ishiki.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-ishiki.html","https://www.55810.com/kagoshima-deliveryhealth-area-ishiki.php","鹿児島市伊敷で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「伊敷」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市伊敷で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-ishiki_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d23356.42529804017!2d130.51709018343197!3d31.6256840366534!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e5dbbf9f1265d%3A0xff447f86599de582!2z44CSODkwLTAwMDgg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC5LyK5pW3!5e1!3m2!1sja!2sjp!4v1771994007512!5m2!1sja!2sjp","鹿児島市伊敷の地図","PHP/HTML対応あり; 画像パス切れ候補","なし","あり","あり","あり","あり","meta keywordsなし"
"伊敷台","不明","ishikidai","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-ishikidai.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-ishikidai.html","https://www.55810.com/kagoshima-deliveryhealth-area-ishikidai.php","鹿児島市伊敷台で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「伊敷台」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市伊敷台で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-ishikidai_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d19233.49735363923!2d130.5306281738561!3d31.626482157602744!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e5dcfa15d1cb9%3A0x5d719b3cbf650a88!2z44CSODkwLTAwMDcg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC5LyK5pW35Y-w!5e1!3m2!1sja!2sjp!4v1772009117683!5m2!1sja!2sjp","鹿児島市伊敷台の地図","PHP/HTML対応あり; 画像パス切れ候補","なし","あり","あり","あり","あり","meta keywordsなし"
"泉町","不明","izumicho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-izumicho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-izumicho.html","https://www.55810.com/kagoshima-deliveryhealth-area-izumicho.php","鹿児島市泉町で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島市「泉町」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市泉町で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-izumicho_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1699.2432065124128!2d130.55889970666874!3d31.593128928197835!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e5e0393d7561f%3A0xfba33729dfefa69f!2z44CSODkyLTA4MjIg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC5rOJ55S6!5e0!3m2!1sja!2sjp!4v1772078177948!5m2!1sja!2sjp","鹿児島市泉町の地図","PHP/HTML対応あり; 確認済み","なし","なし","あり","あり","あり","meta keywordsなし"
"加治屋町","不明","kajiyacho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kajiyacho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-kajiyacho.html","https://www.55810.com/kagoshima-deliveryhealth-area-kajiyacho.php","鹿児島市加治屋町で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島市「加治屋町」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市「加治屋町」で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-kajiyacho_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3398.7624467711885!2d130.54788054191033!3d31.585561585708607!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e6753b4572bbd%3A0xc8baea96c72e80a2!2z44CSODkyLTA4NDYg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC5Yqg5rK75bGL55S6!5e0!3m2!1sja!2sjp!4v1772155002055!5m2!1sja!2sjp","鹿児島市加治屋町の地図","PHP/HTML対応あり; 確認済み","なし","なし","あり","あり","あり","meta keywordsなし"
"上福元町","不明","kamifukumotocho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kamifukumotocho.php","不明","/kagoshima-deliveryhealth-area-kamifukumotocho.php","不明","不明","不明","未設定/未確認","未設定/未確認","未設定/未確認","未設定/未確認","source HTMLなし; 未確認","なし","なし","なし","なし","なし","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; HTML未確認"
"不明","不明","kamihonmachi","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kamihonmachi.php","不明","/kagoshima-deliveryhealth-area-kamihonmachi.php","不明","不明","不明","未設定/未確認","未設定/未確認","未設定/未確認","未設定/未確認","source HTMLなし; 未確認","なし","なし","なし","なし","なし","area_name_jp根拠: 不明; meta keywordsなし; HTML未確認"
"上谷口町","不明","kamitaniguchicho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kamitaniguchicho.php","不明","/kagoshima-deliveryhealth-area-kamitaniguchicho.php","不明","不明","不明","未設定/未確認","未設定/未確認","未設定/未確認","未設定/未確認","source HTMLなし; 未確認","なし","なし","なし","なし","なし","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; HTML未確認"
"不明","不明","kamitatsuocho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kamitatsuocho.php","不明","/kagoshima-deliveryhealth-area-kamitatsuocho.php","不明","不明","不明","未設定/未確認","未設定/未確認","未設定/未確認","未設定/未確認","source HTMLなし; 未確認","なし","なし","なし","なし","なし","area_name_jp根拠: 不明; meta keywordsなし; HTML未確認"
"鴨池","不明","kamoike","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kamoike.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-kamoike.html","https://www.55810.com/kagoshima-deliveryhealth-area-kamoike.php","鹿児島市鴨池で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島市「鴨池」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市「鴨池」で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-kamoike_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d5717.248612876344!2d130.55070342993116!3d31.565433650455773!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e67328af35d29%3A0x3a63cf0c744b857a!2z44CSODkwLTAwNjMg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC6bSo5rGg!5e0!3m2!1sja!2sjp!4v1772263356816!5m2!1sja!2sjp","鹿児島市鴨池の地図","PHP/HTML対応あり; 確認済み","なし","なし","あり","あり","あり","meta keywordsなし"
"鴨池新町","不明","kamoikeshinmachi","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kamoikeshinmachi.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-kamoikeshinmachi.html","https://www.55810.com/kagoshima-deliveryhealth-area-kamoikeshinmachi.php","鹿児島市鴨池新町で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島市「鴨池新町」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市「鴨池新町」で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-kamoikeshinmachi_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d13599.60191381372!2d130.54868065868519!3d31.554345770571203!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e60d42842c671%3A0x280e09e07520fd31!2z44CSODkwLTAwNjQg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC6bSo5rGg5paw55S6!5e0!3m2!1sja!2sjp!4v1772411205743!5m2!1sja!2sjp","鹿児島市鴨池新町の地図","PHP/HTML対応あり; 確認済み","なし","なし","あり","あり","あり","meta keywordsなし"
"春日町","不明","kasugacho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kasugacho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-kasugacho.html","https://www.55810.com/kagoshima-deliveryhealth-area-kasugacho.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-kasugacho_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり","あり","なし","あり","あり","あり","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"不明","不明","kawadacho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kawadacho.php","不明","/kagoshima-deliveryhealth-area-kawadacho.php","不明","不明","不明","未設定/未確認","未設定/未確認","未設定/未確認","未設定/未確認","source HTMLなし; 未確認","なし","なし","なし","なし","なし","area_name_jp根拠: 不明; meta keywordsなし; HTML未確認"
"川上町","不明","kawakamicho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kawakamicho.php","不明","/kagoshima-deliveryhealth-area-kawakamicho.php","不明","不明","不明","未設定/未確認","未設定/未確認","未設定/未確認","未設定/未確認","source HTMLなし; 未確認","なし","なし","なし","なし","なし","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; HTML未確認"
